num_peptides,max_peptides_per_pool,num_replicates,allow_extra_pools,precision,recall,f1,num_pools,num_violations
200,22,3,False,0.467,0.684,0.548,30,888
200,22,4,True,0.981,1.000,0.989,64,0
200,22,4,False,0.956,0.980,0.966,40,1650
200,22,5,True,1.000,1.000,1.000,80,0
200,22,5,False,0.978,1.000,0.987,50,2840
200,23,2,True,0.394,0.634,0.479,32,0
200,23,2,False,0.196,0.302,0.236,18,396
200,23,3,True,0.929,0.987,0.953,48,0
200,23,3,False,0.520,0.675,0.579,27,1230
200,23,4,True,1.000,1.000,1.000,64,0
200,23,4,False,0.762,0.872,0.803,36,2400
200,23,5,True,1.000,1.000,1.000,80,0
200,23,5,False,1.000,1.000,1.000,45,3836
200,24,2,True,0.377,0.533,0.434,32,0
200,24,2,False,0.202,0.325,0.245,18,416
200,24,3,True,0.874,0.983,0.916,48,0
200,24,3,False,0.520,0.694,0.587,27,1188
200,24,4,True,0.978,1.000,0.987,64,0
200,24,4,False,0.872,0.916,0.889,36,2334
200,24,5,True,1.000,1.000,1.000,80,0
200,24,5,False,1.000,1.000,1.000,45,3842
200,25,2,True,0.499,0.736,0.585,32,0
200,25,2,False,0.152,0.235,0.184,16,538
200,25,3,True,0.869,0.953,0.904,48,0
200,25,3,False,0.385,0.625,0.470,24,1544
200,25,4,True,1.000,1.000,1.000,64,0
200,25,4,False,0.727,0.847,0.772,32,3026
200,25,5,True,1.000,1.000,1.000,80,0
200,25,5,False,0.887,0.933,0.905,40,5042
200,26,2,True,0.422,0.676,0.511,32,0
200,26,2,False,0.088,0.102,0.094,16,560
200,26,3,True,0.906,0.993,0.937,48,0
200,26,3,False,0.408,0.633,0.492,24,1582
200,26,4,True,1.000,1.000,1.000,64,0
200,26,4,False,0.678,0.837,0.737,32,3014
200,26,5,True,1.000,1.000,1.000,80,0
200,26,5,False,0.906,0.925,0.913,40,4934
200,27,2,True,0.372,0.544,0.433,32,0
200,27,2,False,0.158,0.209,0.175,16,528
200,27,3,True,0.903,0.947,0.921,48,0
200,27,3,False,0.422,0.582,0.480,24,1574
200,27,4,True,1.000,1.000,1.000,64,0
200,27,4,False,0.806,0.865,0.829,32,3096
200,27,5,True,1.000,1.000,1.000,80,0
200,27,5,False,0.937,0.987,0.956,40,4976
200,28,2,True,0.450,0.653,0.526,32,0
200,28,2,False,0.159,0.234,0.187,16,518
200,28,3,True,0.849,0.960,0.891,48,0
200,28,3,False,0.386,0.544,0.442,24,1626
200,28,4,True,1.000,1.000,1.000,64,0
200,28,4,False,0.739,0.867,0.787,32,3092
200,28,5,True,1.000,1.000,1.000,80,0
200,28,5,False,0.917,0.957,0.934,40,4942
200,29,2,True,0.405,0.623,0.485,32,0
200,29,2,False,0.122,0.162,0.136,14,756
200,29,3,True,0.902,0.973,0.931,48,0
200,29,3,False,0.305,0.513,0.375,21,2148
200,29,4,True,0.973,1.000,0.983,64,0
200,29,4,False,0.541,0.719,0.605,28,4090
200,29,5,True,1.000,1.000,1.000,80,0
200,29,5,False,0.798,0.871,0.826,35,6478
200,30,2,True,0.383,0.675,0.487,32,0
200,30,2,False,0.116,0.150,0.130,14,728
200,30,3,True,0.956,0.980,0.966,48,0
200,30,3,False,0.284,0.444,0.344,21,2066
200,30,4,True,1.000,1.000,1.000,64,0
200,30,4,False,0.405,0.639,0.489,28,4052
200,30,5,True,1.000,1.000,1.000,80,0
200,30,5,False,0.899,0.948,0.920,35,6450
200,31,2,True,0.517,0.691,0.581,32,0
200,31,2,False,0.144,0.204,0.165,14,748
200,31,3,True,0.868,0.960,0.902,48,0
200,31,3,False,0.285,0.479,0.353,21,2182
200,31,4,True,1.000,1.000,1.000,64,0
200,31,4,False,0.603,0.797,0.675,28,4122
200,31,5,True,1.000,1.000,1.000,80,0
200,31,5,False,0.909,0.948,0.925,35,6512
200,32,2,True,0.342,0.598,0.433,32,0
200,32,2,False,0.101,0.126,0.111,14,724
200,32,3,True,0.910,0.983,0.940,48,0
200,32,3,False,0.236,0.348,0.277,21,2076
200,32,4,True,1.000,1.000,1.000,64,0
200,32,4,False,0.612,0.842,0.700,28,4054
200,32,5,True,1.000,1.000,1.000,80,0
200,32,5,False,0.859,0.922,0.884,35,6518
200,33,2,True,0.412,0.643,0.496,32,0
200,33,2,False,0.168,0.251,0.199,14,748
200,33,3,True,0.957,0.993,0.972,48,0
200,33,3,False,0.294,0.461,0.352,21,2090
200,33,4,True,1.000,1.000,1.000,64,0
200,33,4,False,0.563,0.709,0.619,28,4044
200,33,5,True,1.000,1.000,1.000,80,0
200,33,5,False,0.901,0.958,0.923,35,6530
200,34,2,True,0.441,0.663,0.520,32,0
200,34,2,False,0.075,0.123,0.092,12,1030
200,34,3,True,0.842,0.925,0.874,48,0
200,34,3,False,0.222,0.409,0.285,18,2876
200,34,4,True,1.000,1.000,1.000,64,0
200,34,4,False,0.439,0.604,0.497,24,5554
200,34,5,True,1.000,1.000,1.000,80,0
200,34,5,False,0.638,0.721,0.670,30,8782
200,35,2,True,0.366,0.613,0.453,32,0
200,35,2,False,0.120,0.151,0.130,12,1070
200,35,3,True,0.956,1.000,0.974,48,0
200,35,3,False,0.246,0.369,0.289,18,2920
200,35,4,True,1.000,1.000,1.000,64,0
200,35,4,False,0.526,0.679,0.583,24,5488
200,35,5,True,1.000,1.000,1.000,80,0
200,35,5,False,0.689,0.808,0.731,30,8924
200,36,2,True,0.467,0.677,0.544,32,0
200,36,2,False,0.073,0.094,0.078,12,1056
200,36,3,True,0.919,0.983,0.944,48,0
200,36,3,False,0.169,0.289,0.211,18,2950
200,36,4,True,1.000,1.000,1.000,64,0
200,36,4,False,0.432,0.571,0.486,24,5584
200,36,5,True,1.000,1.000,1.000,80,0
200,36,5,False,0.693,0.814,0.737,30,8816
200,37,2,True,0.400,0.612,0.478,32,0
200,37,2,False,0.108,0.126,0.115,12,1022
200,37,3,True,0.917,0.992,0.945,48,0
200,37,3,False,0.225,0.393,0.280,18,2942
200,37,4,True,1.000,1.000,1.000,64,0
200,37,4,False,0.489,0.676,0.558,24,5536
200,37,5,True,1.000,1.000,1.000,80,0
200,37,5,False,0.684,0.811,0.729,30,8928
200,38,2,True,0.402,0.702,0.508,32,0
200,38,2,False,0.055,0.074,0.063,12,1026
200,38,3,True,0.973,1.000,0.983,48,0
200,38,3,False,0.245,0.380,0.293,18,2922
200,38,4,True,1.000,1.000,1.000,64,0
200,38,4,False,0.433,0.548,0.478,24,5570
200,38,5,True,1.000,1.000,1.000,80,0
200,38,5,False,0.711,0.792,0.744,30,8808
200,39,2,True,0.389,0.606,0.468,32,0
200,39,2,False,0.073,0.108,0.087,12,1082
200,39,3,True,0.877,0.947,0.903,48,0
200,39,3,False,0.335,0.491,0.390,18,2940
200,39,4,True,1.000,1.000,1.000,64,0
200,39,4,False,0.449,0.658,0.520,24,5592
200,39,5,True,1.000,1.000,1.000,80,0
200,39,5,False,0.725,0.802,0.752,30,8952
400,9,2,True,0.708,0.888,0.779,90,0
400,9,2,False,0.656,0.899,0.751,90,0
400,10,2,True,0.632,0.828,0.708,80,0
400,10,2,False,0.640,0.824,0.712,80,0
400,11,2,True,0.500,0.737,0.591,74,0
400,11,2,False,0.517,0.785,0.618,74,0
400,12,2,True,0.495,0.714,0.578,68,0
400,12,2,False,0.474,0.713,0.561,68,0
400,13,2,True,0.435,0.646,0.514,62,0
400,13,2,False,0.436,0.689,0.529,62,0
400,13,3,True,0.993,1.000,0.996,93,0
400,13,3,False,0.991,1.000,0.995,93,2
400,14,2,True,0.316,0.499,0.382,58,0
400,14,2,False,0.430,0.687,0.523,58,0
400,14,3,True,0.968,1.000,0.980,88,0
400,14,3,False,0.969,0.993,0.978,87,0
400,15,2,True,0.389,0.607,0.469,54,0
400,15,2,False,0.360,0.596,0.447,54,0
400,15,3,True,0.902,0.965,0.926,81,0
400,15,3,False,0.951,0.988,0.967,81,0
400,16,2,True,0.311,0.549,0.395,50,0
400,16,2,False,0.361,0.558,0.433,50,0
400,16,3,True,0.823,0.952,0.872,76,0
400,16,3,False,0.890,0.953,0.916,75,0
400,17,2,True,0.302,0.503,0.375,48,0
400,17,2,False,0.291,0.482,0.360,48,0
400,17,3,True,0.839,0.908,0.867,73,0
400,17,3,False,0.785,0.925,0.838,72,6
400,17,4,False,1.000,1.000,1.000,96,128
400,18,2,True,0.259,0.429,0.321,46,0
400,18,2,False,0.299,0.536,0.382,46,0
400,18,3,True,0.730,0.874,0.784,70,0
400,18,3,False,0.722,0.834,0.765,69,22
400,18,4,True,0.994,1.000,0.997,94,0
400,18,4,False,1.000,1.000,1.000,92,54
400,19,2,True,0.232,0.374,0.285,44,0
400,19,2,False,0.245,0.391,0.300,44,0
400,19,3,True,0.797,0.911,0.840,68,0
400,19,3,False,0.728,0.843,0.772,66,12
400,19,4,True,1.000,1.000,1.000,93,0
400,19,4,False,1.000,1.000,1.000,88,102
400,20,2,True,0.183,0.317,0.228,40,0
400,20,2,False,0.239,0.369,0.287,40,0
400,20,3,True,0.739,0.844,0.780,63,0
400,20,3,False,0.607,0.788,0.674,60,90
400,20,4,True,0.970,0.993,0.979,89,0
400,20,4,False,0.988,1.000,0.994,80,478
400,21,2,True,0.216,0.328,0.258,40,0
400,21,2,False,0.232,0.377,0.285,40,0
400,21,3,True,0.653,0.806,0.710,63,0
400,21,3,False,0.748,0.872,0.795,60,74
400,21,4,True,1.000,1.000,1.000,90,0
400,21,4,False,1.000,1.000,1.000,80,412
400,22,2,True,0.267,0.413,0.321,41,0
400,22,2,False,0.205,0.352,0.256,38,112
400,22,3,True,0.669,0.824,0.725,65,0
400,22,3,False,0.667,0.813,0.723,57,370
400,22,4,True,1.000,1.000,1.000,92,0
400,22,4,False,0.958,0.990,0.971,76,928
400,22,5,False,1.000,1.000,1.000,95,1996
400,23,2,True,0.252,0.416,0.312,41,0
400,23,2,False,0.176,0.269,0.210,36,180
400,23,3,True,0.753,0.867,0.795,66,0
400,23,3,False,0.606,0.740,0.659,54,602
400,23,4,True,1.000,1.000,1.000,94,0
400,23,4,False,0.913,0.959,0.932,72,1372
400,23,5,False,1.000,1.000,1.000,90,2532
400,24,2,True,0.202,0.328,0.248,41,0
400,24,2,False,0.168,0.264,0.204,34,264
400,24,3,True,0.746,0.893,0.800,67,0
400,24,3,False,0.498,0.703,0.573,51,810
400,24,4,True,1.000,1.000,1.000,94,0
400,24,4,False,0.837,0.890,0.858,68,1856
400,24,5,False,0.986,1.000,0.992,85,3304
400,25,2,True,0.249,0.437,0.316,41,0
400,25,2,False,0.165,0.226,0.190,32,352
400,25,3,True,0.770,0.891,0.817,67,0
400,25,3,False,0.553,0.715,0.614,48,1104
400,25,4,True,1.000,1.000,1.000,94,0
400,25,4,False,0.780,0.870,0.816,64,2386
400,25,5,False,0.985,1.000,0.991,80,4098
400,26,2,True,0.237,0.378,0.289,41,0
400,26,2,False,0.145,0.211,0.171,32,366
400,26,3,True,0.770,0.896,0.819,67,0
400,26,3,False,0.519,0.699,0.585,48,1088
400,26,4,False,0.776,0.877,0.816,64,2320
400,26,5,False,0.970,0.993,0.980,80,4018
400,27,2,True,0.229,0.379,0.283,42,0
400,27,2,False,0.101,0.135,0.115,30,448
400,27,3,True,0.766,0.901,0.817,70,0
400,27,3,False,0.450,0.637,0.524,45,1440
400,27,4,False,0.776,0.861,0.809,60,2982
400,27,5,False,0.954,0.977,0.964,75,5124
400,28,2,True,0.224,0.358,0.275,42,0
400,28,2,False,0.136,0.208,0.161,30,458
400,28,3,True,0.751,0.874,0.799,70,0
400,28,3,False,0.435,0.582,0.490,45,1456
