num_peptides,max_peptides_per_pool,num_replicates,allow_extra_pools,precision,recall,f1,num_pools,num_violations
200,13,6,False,1.000,1.000,1.000,96,594
200,14,6,False,1.000,1.000,1.000,90,1016
200,15,6,False,1.000,1.000,1.000,84,1346
200,16,6,False,1.000,1.000,1.000,78,1948
200,16,7,False,1.000,1.000,1.000,91,2862
200,17,6,False,1.000,1.000,1.000,72,2456
200,17,7,False,1.000,1.000,1.000,84,3792
200,17,8,False,1.000,1.000,1.000,96,5034
200,18,6,False,1.000,1.000,1.000,72,2520
200,18,7,False,1.000,1.000,1.000,84,3618
200,18,8,False,1.000,1.000,1.000,96,5140
200,19,6,False,1.000,1.000,1.000,66,3482
200,19,7,False,1.000,1.000,1.000,77,4906
200,19,8,False,1.000,1.000,1.000,88,6366
200,20,6,False,1.000,1.000,1.000,60,4186
200,20,7,False,1.000,1.000,1.000,70,5884
200,20,8,False,1.000,1.000,1.000,80,7890
200,20,9,False,1.000,1.000,1.000,90,9858
200,21,6,False,1.000,1.000,1.000,60,4274
200,21,7,False,1.000,1.000,1.000,70,5828
200,21,8,False,1.000,1.000,1.000,80,7768
200,21,9,False,1.000,1.000,1.000,90,9744
200,22,6,False,1.000,1.000,1.000,60,4332
200,22,7,False,1.000,1.000,1.000,70,5890
200,22,8,False,1.000,1.000,1.000,80,7932
200,22,9,False,1.000,1.000,1.000,90,9942
200,23,6,False,1.000,1.000,1.000,54,5624
200,23,7,False,1.000,1.000,1.000,63,7684
200,23,8,False,1.000,1.000,1.000,72,10074
200,23,9,False,1.000,1.000,1.000,81,12462
200,23,10,False,1.000,1.000,1.000,90,15274
200,24,6,False,1.000,1.000,1.000,54,5698
200,24,7,False,1.000,1.000,1.000,63,7640
200,24,8,False,1.000,1.000,1.000,72,10062
200,24,9,False,1.000,1.000,1.000,81,12520
200,24,10,False,1.000,1.000,1.000,90,15292
200,25,6,False,0.996,1.000,0.998,48,7138
200,25,7,False,1.000,1.000,1.000,56,9704
200,25,8,False,1.000,1.000,1.000,64,12446
200,25,9,False,1.000,1.000,1.000,72,15532
200,25,10,False,1.000,1.000,1.000,80,18858
200,26,6,False,1.000,1.000,1.000,48,7170
200,26,7,False,1.000,1.000,1.000,56,9774
200,26,8,False,1.000,1.000,1.000,64,12496
200,26,9,False,1.000,1.000,1.000,72,15564
200,26,10,False,1.000,1.000,1.000,80,18788
200,27,6,False,0.996,1.000,0.998,48,7202
200,27,7,False,0.996,1.000,0.998,56,9676
200,27,8,False,1.000,1.000,1.000,64,12478
200,27,9,False,1.000,1.000,1.000,72,15296
200,27,10,False,1.000,1.000,1.000,80,18816
200,28,6,False,1.000,1.000,1.000,48,7082
200,28,7,False,1.000,1.000,1.000,56,9572
200,28,8,False,1.000,1.000,1.000,64,12534
200,28,9,False,1.000,1.000,1.000,72,15606
200,28,10,False,1.000,1.000,1.000,80,18794
200,29,6,False,0.915,0.955,0.931,42,9438
200,29,7,False,1.000,1.000,1.000,49,12594
200,29,8,False,1.000,1.000,1.000,56,16342
200,29,9,False,1.000,1.000,1.000,63,19996
200,29,10,False,1.000,1.000,1.000,70,24186
200,30,6,False,0.953,0.964,0.958,42,9256
200,30,7,False,1.000,1.000,1.000,49,12632
200,30,8,False,1.000,1.000,1.000,56,16342
200,30,9,False,1.000,1.000,1.000,63,20140
200,30,10,False,1.000,1.000,1.000,70,24038
200,31,6,False,0.951,0.984,0.964,42,9346
200,31,7,False,1.000,1.000,1.000,49,12508
200,31,8,False,1.000,1.000,1.000,56,16114
200,31,9,False,1.000,1.000,1.000,63,20084
200,31,10,False,1.000,1.000,1.000,70,24082
200,32,6,False,0.955,0.976,0.964,42,9540
200,32,7,False,1.000,1.000,1.000,49,12616
200,32,8,False,1.000,1.000,1.000,56,16094
200,32,9,False,1.000,1.000,1.000,63,19938
200,32,10,False,1.000,1.000,1.000,70,24124
200,33,6,False,0.943,0.971,0.954,42,9396
200,33,7,False,0.996,1.000,0.998,49,12618
200,33,8,False,1.000,1.000,1.000,56,16150
200,33,9,False,1.000,1.000,1.000,63,19984
200,33,10,False,1.000,1.000,1.000,70,24058
200,34,6,False,0.829,0.911,0.861,36,12700
200,34,7,False,1.000,1.000,1.000,42,17012
200,34,8,False,0.986,1.000,0.993,48,21430
200,34,9,False,1.000,1.000,1.000,54,26294
200,34,10,False,1.000,1.000,1.000,60,31626
200,35,6,False,0.787,0.892,0.826,36,12574
200,35,7,False,0.954,0.976,0.962,42,17006
200,35,8,False,1.000,1.000,1.000,48,21498
200,35,9,False,1.000,1.000,1.000,54,26266
200,35,10,False,1.000,1.000,1.000,60,31620
200,36,6,False,0.807,0.903,0.843,36,12728
200,36,7,False,0.969,0.972,0.970,42,16790
200,36,8,False,1.000,1.000,1.000,48,21530
200,36,9,False,1.000,1.000,1.000,54,26396
200,36,10,False,1.000,1.000,1.000,60,31546
200,37,6,False,0.848,0.910,0.873,36,12684
200,37,7,False,0.900,0.949,0.919,42,17082
200,37,8,False,1.000,1.000,1.000,48,21548
200,37,9,False,1.000,1.000,1.000,54,26386
200,37,10,False,1.000,1.000,1.000,60,31518
200,38,6,False,0.872,0.923,0.893,36,12542
200,38,7,False,0.980,1.000,0.989,42,16964
200,38,8,False,1.000,1.000,1.000,48,21546
200,38,9,False,1.000,1.000,1.000,54,26490
200,38,10,False,1.000,1.000,1.000,60,31700
200,39,6,False,0.853,0.903,0.871,36,12708
200,39,7,False,0.973,0.980,0.975,42,16904
200,39,8,False,0.993,1.000,0.996,48,21520
200,39,9,False,1.000,1.000,1.000,54,26422
200,39,10,False,1.000,1.000,1.000,60,31572
400,25,6,False,1.000,1.000,1.000,96,6198
400,26,6,False,1.000,1.000,1.000,96,6134
400,27,6,False,0.998,1.000,0.999,90,7786
400,28,6,False,1.000,1.000,1.000,90,7666
400,29,6,False,0.998,1.000,0.999,84,9258
400,30,6,False,0.989,1.000,0.994,84,9202
400,31,6,False,0.982,0.994,0.987,78,11094
400,31,7,False,0.995,1.000,0.997,91,15276
400,32,6,False,0.980,0.998,0.987,78,11042
400,32,7,False,1.000,1.000,1.000,91,15256
400,33,6,False,0.976,0.994,0.984,78,11198
400,33,7,False,1.000,1.000,1.000,91,15236
400,34,6,False,0.906,0.959,0.928,72,13474
400,34,7,False,1.000,1.000,1.000,84,18258
400,34,8,False,1.000,1.000,1.000,96,24186
400,35,6,False,0.928,0.974,0.946,72,13624
400,35,7,False,0.995,1.000,0.997,84,18462
400,35,8,False,1.000,1.000,1.000,96,24130
400,36,6,False,0.926,0.966,0.942,72,13362
400,36,7,False,0.990,1.000,0.994,84,18354
400,36,8,False,1.000,1.000,1.000,96,24158
400,37,6,False,0.863,0.931,0.890,66,16190
400,37,7,False,0.966,0.986,0.974,77,22190
400,37,8,False,1.000,1.000,1.000,88,28800
400,38,6,False,0.863,0.907,0.881,66,16128
400,38,7,False,0.973,0.996,0.983,77,22210
400,38,8,False,1.000,1.000,1.000,88,28494
400,39,6,False,0.825,0.914,0.861,66,16406
400,39,7,False,0.973,0.992,0.981,77,22088
400,39,8,False,1.000,1.000,1.000,88,28630
400,40,6,False,0.769,0.834,0.795,60,19576
400,40,7,False,0.919,0.960,0.935,70,26540
400,40,8,False,0.976,0.994,0.983,80,34400
400,40,9,False,0.998,1.000,0.999,90,43318
400,41,6,False,0.780,0.867,0.813,60,19544
400,41,7,False,0.910,0.956,0.928,70,26712
400,41,8,False,0.975,0.990,0.982,80,34642
400,41,9,False,1.000,1.000,1.000,90,43130
400,42,6,False,0.745,0.833,0.780,60,19622
400,42,7,False,0.898,0.946,0.917,70,26786
400,42,8,False,0.990,1.000,0.995,80,34506
400,42,9,False,0.982,0.994,0.987,90,43316
400,43,6,False,0.782,0.883,0.821,60,19488
400,43,7,False,0.884,0.936,0.905,70,26616
400,43,8,False,0.970,0.992,0.979,80,34698
400,43,9,False,0.994,1.000,0.997,90,43370
400,44,6,False,0.816,0.897,0.848,60,19542
400,44,7,False,0.919,0.962,0.937,70,26642
400,44,8,False,0.993,1.000,0.996,80,34466
400,44,9,False,0.992,1.000,0.996,90,43284
400,45,6,False,0.669,0.776,0.711,54,24374
400,45,7,False,0.896,0.934,0.912,63,32954
400,45,8,False,0.913,0.954,0.930,72,42210
400,45,9,False,0.998,1.000,0.999,81,52934
400,45,10,False,1.000,1.000,1.000,90,64016
400,46,6,False,0.693,0.793,0.732,54,24384
400,46,7,False,0.811,0.879,0.837,63,32804
400,46,8,False,0.924,0.950,0.935,72,42504
400,46,9,False,0.979,0.988,0.982,81,52596
400,46,10,False,0.998,1.000,0.999,90,63834
400,47,6,False,0.729,0.825,0.767,54,24274
400,47,7,False,0.875,0.935,0.899,63,33076
